run,table_role,lineage_files,lineage_status,scored_rows_path,exclusion_n_distinct,exclusion_known,exclusion_unknown,identity_check_holds,full_n,clean_n,full_n_known,clean_n_known,full_n_unknown,clean_n_unknown,full_truthful_pct,clean_truthful_pct,full_correct_on_known_pct,clean_correct_on_known_pct,full_correct_on_known_num,full_correct_on_known_den,clean_correct_on_known_num,clean_correct_on_known_den,full_over_refusal_pct,clean_over_refusal_pct,full_refusal_recall_pct,clean_refusal_recall_pct,full_answer_on_unknown_pct,clean_answer_on_unknown_pct,full_action_margin_pts,clean_action_margin_pts
clean_sft_base,Table 1 col 1 (clean-SFT base),sft_clean_train,PINNED_MATCH,experiments/probe-scaled-response-confidence/analysis/phase1-migrated/eval/results_amendment_e_response_confidence_selfaware_clean_sft_seed1_merged_full_4b/clean_schema_sft_merged_seed1__selfaware/scored_rows.jsonl,117,117,0,True,3369,3252,2337,2220,1032,1032,40.58,39.58,47.23,43.03,469,993,389,904,57.51,59.28,87.02,87.02,12.98,12.98,29.51,27.74
K_answer_supervised,"Table 1 col 2 (answer-supervised, Amendment K)",contrastive_train,NEW_FILE_INDEPENDENT_DERIVATION,experiments/contrastive-sft-behavior-conditional-confidence/analysis/phase1-migrated/eval/results_amendment_k_response_confidence_selfaware_contrastive_sft_seed1_merged_full_4b/contrastive_schema_sft_merged_seed1__selfaware/scored_rows.jsonl,117,117,0,True,3369,3252,2337,2220,1032,1032,30.93,31.09,36.63,32.89,178,486,147,447,79.2,79.86,83.72,83.72,16.28,16.28,4.52,3.86
L_answer_masked,"Table 1 col 3 (answer-masked, Amendment L)",contrastive_masked_train,NEW_FILE_INDEPENDENT_DERIVATION,experiments/answer-subspan-masked-contrastive-sft/analysis/phase1-migrated/eval/results_amendment_l_response_confidence_selfaware_contrastive_masked_sft_seed1_merged_full_4b/contrastive_masked_schema_sft_merged_seed1__selfaware/scored_rows.jsonl,117,117,0,True,3369,3252,2337,2220,1032,1032,41.59,40.65,50.06,45.42,436,871,357,786,62.73,64.59,93.51,93.51,6.49,6.49,30.78,28.92
grpo_v2,"Section 7 prose, intervention 3-4 (GRPO v2, clean-SFT base)",sft_clean_train;grpo_train,PINNED_MATCH,experiments/probe-scaled-response-confidence/analysis/phase1-migrated/eval/results_amendment_e_response_confidence_selfaware_clean_sft_grpo_v2_seed1_corrected_base_full_4b/clean_schema_sft_grpo_v2_seed1_corrected_base__selfaware/scored_rows.jsonl,117,117,0,True,3369,3252,2337,2220,1032,1032,41.08,40.22,53.85,49.43,420,780,344,696,66.62,68.65,93.41,93.41,6.59,6.59,26.79,24.76
J_grpo_v3_proper_scoring,"Section 7 prose, intervention 5 (GRPO v3 proper-scoring, Amendment J)",sft_clean_train;grpo_train,PINNED_MATCH,experiments/grpo-v3-proper-scoring-confidence/analysis/phase1-migrated/eval/results_amendment_j_response_confidence_selfaware_clean_sft_grpo_v3_seed1_full_4b/clean_schema_sft_grpo_v3_seed1__selfaware/scored_rows.jsonl,117,117,0,True,3369,3252,2337,2220,1032,1032,40.99,40.1,52.52,48.08,428,815,351,730,65.13,67.12,92.34,92.34,7.66,7.66,27.21,25.22
N_beta010,"Table 2 row 1/2 (RL-on-answer-supervised-base, Amendment N, beta=0.10)",contrastive_train;grpo_train,MIXED,experiments/grpo-v3-on-contrastive-sft-base/analysis/phase1-migrated/eval/results_amendment_n_response_confidence_selfaware_grpo_on_contrastive_sft_seed1_full_4b/grpo_v3_on_contrastive_sft_seed1__selfaware/scored_rows.jsonl,117,117,0,True,3369,3252,2337,2220,1032,1032,31.91,32.35,50.46,45.26,109,216,86,190,90.76,91.44,93.6,93.6,6.4,6.4,2.84,2.16
N_beta005,"Table 2 row 4 (RL-on-answer-supervised-base, Amendment N, beta=0.05 falsifier re-run)",contrastive_train;grpo_train,MIXED,experiments/grpo-v3-on-contrastive-sft-base/analysis/phase1-migrated/eval/results_amendment_n_beta005_selfaware_grpo_on_contrastive_sft_seed1_full_4b/grpo_v3_beta005_on_contrastive_sft_seed1__selfaware/scored_rows.jsonl,117,117,0,True,3369,3252,2337,2220,1032,1032,31.91,32.35,49.55,44.33,109,220,86,194,90.59,91.26,93.6,93.6,6.4,6.4,3.01,2.34
M_probe_factual_distill,"Table 3 (probe-axis distillation, Amendment M Revision 3)",probe_factual_train,NEW_FILE_INDEPENDENT_DERIVATION,experiments/quantile-balanced-probe-distilled-sft/analysis/phase1-migrated/eval/results_amendment_m_response_confidence_selfaware_probe_factual_sft_seed1_merged_full_4b/probe_factual_schema_sft_merged_seed1__selfaware/scored_rows.jsonl,115,115,0,True,3369,3254,2337,2222,1032,1032,41.56,40.63,49.32,44.79,435,882,357,797,62.26,64.13,93.51,93.51,6.49,6.49,31.25,29.38
