arm,metric,mean,sd,ci95_low,ci95_high,ci95_low_bounded,ci95_high_bounded,n_seeds
dpo,truthful_pct,15.673333333333334,0.8764321612842223,13.49615514961447,17.850511517052198,13.49615514961447,17.850511517052198,3
dpo,refusal_recall_pct,0.03333333333333333,0.05773502691896258,-0.11008842433037586,0.1767550909970425,0.0,0.1767550909970425,3
dpo,over_refusal_pct,0.1,0.06557438524302002,-0.0628958033131565,0.26289580331315654,0.0,0.26289580331315654,3
dpo,correct_on_known_pct,22.599999999999998,1.26834537883023,19.449255412805073,25.750744587194923,19.449255412805073,25.750744587194923,3
dpo,answer_on_unknown_pct,99.96666666666667,0.05773502691895929,99.82324490900297,100.11008842433037,99.82324490900297,100.0,3
kto,truthful_pct,18.67,0.21633307652784017,18.132598846278015,19.20740115372199,18.132598846278015,19.20740115372199,3
kto,refusal_recall_pct,0.0,0.0,0.0,0.0,0.0,0.0,3
kto,over_refusal_pct,0.14333333333333334,0.04618802153517007,0.02859592720236598,0.2580707394643007,0.02859592720236598,0.2580707394643007,3
kto,correct_on_known_pct,26.953333333333333,0.29704096238285616,26.215442676715718,27.69122398995095,26.215442676715718,27.69122398995095,3
kto,answer_on_unknown_pct,100.0,0.0,100.0,100.0,100.0,100.0,3
sft,truthful_pct,39.19,1.234787431098975,36.12261797629636,42.257382023703634,36.12261797629636,42.257382023703634,3
sft,refusal_recall_pct,87.88333333333334,4.235732915722303,77.36118946008968,98.405477206577,77.36118946008968,98.405477206577,3
sft,over_refusal_pct,64.76666666666667,0.47056703383612886,63.59771335196388,65.93561998136946,63.59771335196388,65.93561998136946,3
sft,correct_on_known_pct,50.20666666666667,0.46576102599222874,49.049652137292334,51.36368119604101,49.049652137292334,51.36368119604101,3
sft,answer_on_unknown_pct,12.116666666666667,4.235732915722299,1.5945227934230068,22.638810539910327,1.5945227934230068,22.638810539910327,3
