seed,pair,n_rows,truthful_a_not_b,truthful_b_not_a,unknown_a_refused_b_answered,unknown_b_refused_a_answered,known_a_refused_b_answered,known_b_refused_a_answered,known_a_refused_b_correct,known_a_correct_b_bad,known_b_correct_a_bad,truthful_mcnemar_p,unknown_refusal_mcnemar_p,known_refusal_mcnemar_p,known_correct_mcnemar_p
1,sft->dpo,3369,974,205,865,0,1501,0,120,109,205,3.343001333721401e-120,8.129872718476454e-261,0.0,6.590148500152327e-08
1,sft->kto,3369,928,276,866,0,1499,0,164,62,276,8.899639511410119e-83,4.0649363592379883e-261,0.0,2.3173841795376736e-33
1,dpo->kto,3369,91,208,1,0,2,4,0,90,208,1.078849776663614e-11,1.0,0.6875000000000014,6.513449608377234e-12
2,sft->dpo,3369,985,234,902,0,1512,0,139,83,234,6.802162484937081e-110,5.915260930834014e-272,0.0,8.400816885730882e-18
2,sft->kto,3369,969,277,902,0,1509,0,172,67,277,3.15026675034326e-90,5.915260930834014e-272,0.0,1.8290392813188587e-31
2,dpo->kto,3369,106,165,0,0,1,4,0,106,165,0.0004065075425066522,1.0,0.3750000000000005,0.0004065075425066522
3,sft->dpo,3369,1079,222,953,0,1521,0,130,126,222,2.4168041725697173e-135,2.626903552830923e-287,0.0,2.9945142920802483e-07
3,sft->kto,3369,1014,284,953,0,1523,0,177,61,284,1.9940719246084314e-96,2.626903552830923e-287,0.0,1.5833930360095e-35
3,dpo->kto,3369,73,200,0,0,4,2,0,73,200,7.823666788246431e-15,1.0,0.6875000000000014,7.823666788246431e-15
