method,n,n_unknown_labeled,n_known_labeled,refusal_recall_pct,answer_on_unknown_pct,over_refusal_pct,refusal_rate_pct,correct_on_known_pct,correct_on_unknown_pct,truthful_pct
idk-sft,11313,6216,5097,84.06,15.94,42.71,65.43,93.42,44.3,70.3
idk-dpo,11313,6216,5097,71.19,28.81,23.27,49.6,91.59,42.88,70.78
idk-ppo,11313,6216,5097,73.89,26.11,30.86,54.5,92.93,43.62,69.55
idk-bon,11313,6216,5097,73.95,26.05,25.64,52.19,91.45,45.77,71.27
idk-hir,11313,6216,5097,88.37,11.63,45.16,68.9,93.85,51.31,71.74
