seed,arm,n,n_unknown,n_known,truthful_pct,refusal_recall_pct,over_refusal_pct,correct_on_known_pct,answer_on_unknown_pct,config_sha,source_csv
1,sft,3369,1032,2337,38.08,83.91,64.31,50.0,16.09,6010e9d76f316c78,archive/experiment/phase1/eval/results_selfaware_full_seed1_all_arms_4b_20260615_2148/comparisons/summary_table.csv
1,dpo,3369,1032,2337,15.26,0.1,0.09,21.97,99.9,6010e9d76f316c78,archive/experiment/phase1/eval/results_selfaware_full_seed1_all_arms_4b_20260615_2148/comparisons/summary_table.csv
1,kto,3369,1032,2337,18.73,0.0,0.17,27.05,100.0,6010e9d76f316c78,archive/experiment/phase1/eval/results_selfaware_full_seed1_all_arms_4b_20260615_2148/comparisons/summary_table.csv
2,sft,3369,1032,2337,38.97,87.4,64.74,49.88,12.6,336f99d85d5da159,archive/experiment/phase1/eval/results_selfaware_full_seed2_all_arms_4b_20260615_2148/comparisons/summary_table.csv
2,dpo,3369,1032,2337,16.68,0.0,0.04,24.06,100.0,336f99d85d5da159,archive/experiment/phase1/eval/results_selfaware_full_seed2_all_arms_4b_20260615_2148/comparisons/summary_table.csv
2,kto,3369,1032,2337,18.43,0.0,0.17,26.62,100.0,336f99d85d5da159,archive/experiment/phase1/eval/results_selfaware_full_seed2_all_arms_4b_20260615_2148/comparisons/summary_table.csv
3,sft,3369,1032,2337,40.52,92.34,65.25,50.74,7.66,adf4b7c7dbe0d3b4,archive/experiment/phase1/eval/results_selfaware_full_seed3_all_arms_4b_20260616_0615/comparisons/summary_table.csv
3,dpo,3369,1032,2337,15.08,0.0,0.17,21.77,100.0,adf4b7c7dbe0d3b4,archive/experiment/phase1/eval/results_selfaware_full_seed3_all_arms_4b_20260616_0615/comparisons/summary_table.csv
3,kto,3369,1032,2337,18.85,0.0,0.09,27.19,100.0,adf4b7c7dbe0d3b4,archive/experiment/phase1/eval/results_selfaware_full_seed3_all_arms_4b_20260616_0615/comparisons/summary_table.csv
